fecha,llegadas,reservas_llegadas
2015-11-25,59.0,42
2015-11-26,74.0,49
2015-11-27,201.0,114
2015-11-28,101.0,47
2015-11-29,28.0,15
2015-11-30,60.0,46
2015-12-01,59.0,45
2015-12-02,76.0,52
2015-12-03,95.0,59
2015-12-04,158.0,76
2015-12-05,526.0,255
2015-12-06,83.0,44
2015-12-07,44.0,23
2015-12-08,38.0,24
2015-12-09,109.0,68
2015-12-10,107.0,78
2015-12-11,83.0,42
2015-12-12,80.0,40
2015-12-13,24.0,15
2015-12-14,55.0,36
2015-12-15,35.0,26
2015-12-16,58.0,41
2015-12-17,68.0,43
2015-12-18,81.0,42
2015-12-19,119.0,54
2015-12-20,57.0,28
2015-12-21,69.0,38
2015-12-22,103.0,55
2015-12-23,103.0,54
2015-12-24,137.0,65
2015-12-25,83.0,40
2015-12-26,190.0,84
2015-12-27,172.0,83
2015-12-28,151.0,74
2015-12-29,202.0,101
2015-12-30,337.0,169
2015-12-31,184.0,86
2016-01-01,77.0,33
2016-01-02,227.0,119
2016-01-03,89.0,44
2016-01-04,113.0,66
2016-01-05,58.0,38
2016-01-06,75.0,44
2016-01-07,70.0,41
2016-01-08,92.0,47
2016-01-09,79.0,42
2016-01-10,66.0,39
2016-01-11,58.0,39
2016-01-12,86.0,54
2016-01-13,62.0,41
2016-01-14,127.0,78
2016-01-15,130.0,66
2016-01-16,104.0,53
2016-01-17,58.0,31
2016-01-18,68.0,49
2016-01-19,138.0,109
2016-01-20,85.0,56
2016-01-21,82.0,55
2016-01-22,89.0,49
2016-01-23,123.0,62
2016-01-24,57.0,31
2016-01-25,112.0,64
2016-01-26,86.0,60
2016-01-27,100.0,70
2016-01-28,117.0,67
2016-01-29,129.0,67
2016-01-30,91.0,47
2016-01-31,54.0,30
2016-02-01,70.0,48
2016-02-02,71.0,50
2016-02-03,110.0,70
2016-02-04,135.0,85
2016-02-05,200.0,100
2016-02-06,337.0,166
2016-02-07,183.0,88
2016-02-08,149.0,71
2016-02-09,101.0,54
2016-02-10,109.0,65
2016-02-11,133.0,71
2016-02-12,318.0,153
2016-02-13,311.0,152
2016-02-14,156.0,75
2016-02-15,134.0,73
2016-02-16,114.0,70
2016-02-17,123.0,74
2016-02-18,126.0,70
2016-02-19,225.0,154
2016-02-20,178.0,88
2016-02-21,102.0,50
2016-02-22,159.0,91
2016-02-23,97.0,58
2016-02-24,126.0,69
2016-02-25,170.0,94
2016-02-26,238.0,120
2016-02-27,321.0,167
2016-02-28,112.0,66
2016-02-29,86.0,57
2016-03-01,140.0,93
2016-03-02,178.0,117
2016-03-03,152.0,82
2016-03-04,258.0,133
2016-03-05,182.0,97
2016-03-06,113.0,58
2016-03-07,191.0,118
2016-03-08,154.0,101
2016-03-09,212.0,118
2016-03-10,161.0,84
2016-03-11,239.0,135
2016-03-12,207.0,101
2016-03-13,171.0,85
2016-03-14,169.0,102
2016-03-15,155.0,94
2016-03-16,154.0,97
2016-03-17,238.0,134
2016-03-18,218.0,112
2016-03-19,263.0,125
2016-03-20,272.0,135
2016-03-21,255.0,124
2016-03-22,173.0,90
2016-03-23,196.0,94
2016-03-24,405.0,184
2016-03-25,236.0,104
2016-03-26,132.0,59
2016-03-27,164.0,78
2016-03-28,278.0,128
2016-03-29,188.0,98
2016-03-30,194.0,99
2016-03-31,302.0,163
2016-04-01,152.0,77
2016-04-02,138.0,69
2016-04-03,139.0,68
2016-04-04,265.0,151
2016-04-05,147.0,86
2016-04-06,266.0,148
2016-04-07,226.0,118
2016-04-08,252.0,128
2016-04-09,279.0,150
2016-04-10,156.0,83
2016-04-11,241.0,127
2016-04-12,172.0,93
2016-04-13,216.0,112
2016-04-14,149.0,79
2016-04-15,220.0,107
2016-04-16,242.0,120
2016-04-17,202.0,99
2016-04-18,284.0,163
2016-04-19,134.0,78
2016-04-20,262.0,148
2016-04-21,180.0,89
2016-04-22,273.0,132
2016-04-23,258.0,120
2016-04-24,179.0,83
2016-04-25,184.0,93
2016-04-26,242.0,134
2016-04-27,193.0,103
2016-04-28,234.0,124
2016-04-29,278.0,139
2016-04-30,282.0,144
2016-05-01,128.0,60
2016-05-02,341.0,181
2016-05-03,134.0,74
2016-05-04,189.0,102
2016-05-05,283.0,146
2016-05-06,179.0,92
2016-05-07,197.0,99
2016-05-08,186.0,99
2016-05-09,224.0,130
2016-05-10,165.0,102
2016-05-11,196.0,104
2016-05-12,289.0,148
2016-05-13,207.0,101
2016-05-14,219.0,106
2016-05-15,269.0,132
2016-05-16,265.0,149
2016-05-17,263.0,159
2016-05-18,150.0,85
2016-05-19,335.0,168
2016-05-20,236.0,114
2016-05-21,247.0,122
2016-05-22,210.0,102
2016-05-23,161.0,100
2016-05-24,170.0,93
2016-05-25,180.0,89
2016-05-26,404.0,213
2016-05-27,112.0,52
2016-05-28,120.0,60
2016-05-29,260.0,131
2016-05-30,243.0,136
2016-05-31,201.0,111
2016-06-01,167.0,88
2016-06-02,270.0,140
2016-06-03,246.0,117
2016-06-04,192.0,96
2016-06-05,124.0,63
2016-06-06,311.0,200
2016-06-07,108.0,65
2016-06-08,149.0,83
2016-06-09,226.0,111
2016-06-10,275.0,136
2016-06-11,165.0,81
2016-06-12,200.0,94
2016-06-13,186.0,99
2016-06-14,134.0,86
2016-06-15,244.0,134
2016-06-16,185.0,89
2016-06-17,286.0,143
2016-06-18,187.0,87
2016-06-19,186.0,90
2016-06-20,230.0,122
2016-06-21,189.0,99
2016-06-22,159.0,94
2016-06-23,151.0,72
2016-06-24,330.0,220
2016-06-25,112.0,52
2016-06-26,339.0,166
2016-06-27,216.0,100
2016-06-28,194.0,95
2016-06-29,140.0,67
2016-06-30,225.0,105
2016-07-01,214.0,92
2016-07-02,191.0,83
2016-07-03,190.0,85
2016-07-04,228.0,106
2016-07-05,194.0,91
2016-07-06,202.0,95
2016-07-07,176.0,84
2016-07-08,209.0,94
2016-07-09,227.0,98
2016-07-10,204.0,89
2016-07-11,238.0,110
2016-07-12,195.0,91
2016-07-13,214.0,91
2016-07-14,209.0,89
2016-07-15,220.0,93
2016-07-16,251.0,109
2016-07-17,204.0,88
2016-07-18,281.0,129
2016-07-19,163.0,78
2016-07-20,190.0,91
2016-07-21,320.0,154
2016-07-22,190.0,85
2016-07-23,334.0,139
2016-07-24,211.0,92
2016-07-25,257.0,115
2016-07-26,188.0,83
2016-07-27,195.0,83
2016-07-28,226.0,98
2016-07-29,200.0,87
2016-07-30,340.0,161
2016-07-31,193.0,83
2016-08-01,337.0,144
2016-08-02,217.0,94
2016-08-03,227.0,102
2016-08-04,251.0,104
2016-08-05,206.0,89
2016-08-06,240.0,100
2016-08-07,221.0,93
2016-08-08,335.0,142
2016-08-09,194.0,86
2016-08-10,179.0,76
2016-08-11,227.0,97
2016-08-12,258.0,119
2016-08-13,284.0,114
2016-08-14,224.0,95
2016-08-15,261.0,112
2016-08-16,247.0,104
2016-08-17,211.0,91
2016-08-18,291.0,143
2016-08-19,219.0,92
2016-08-20,314.0,137
2016-08-21,261.0,111
2016-08-22,286.0,119
2016-08-23,180.0,77
2016-08-24,208.0,93
2016-08-25,224.0,101
2016-08-26,233.0,107
2016-08-27,181.0,81
2016-08-28,268.0,116
2016-08-29,231.0,111
2016-08-30,194.0,87
2016-08-31,200.0,93
2016-09-01,243.0,113
2016-09-02,224.0,107
2016-09-03,224.0,109
2016-09-04,166.0,80
2016-09-05,274.0,133
2016-09-06,160.0,76
2016-09-07,126.0,58
2016-09-08,194.0,97
2016-09-09,201.0,96
2016-09-10,190.0,88
2016-09-11,249.0,122
2016-09-12,233.0,123
2016-09-13,270.0,148
2016-09-14,163.0,91
2016-09-15,326.0,174
2016-09-16,236.0,118
2016-09-17,175.0,89
2016-09-18,257.0,130
2016-09-19,253.0,144
2016-09-20,240.0,119
2016-09-21,284.0,157
2016-09-22,211.0,115
2016-09-23,214.0,100
2016-09-24,129.0,60
2016-09-25,227.0,122
2016-09-26,310.0,167
2016-09-27,164.0,93
2016-09-28,173.0,100
2016-09-29,191.0,104
2016-09-30,267.0,136
2016-10-01,129.0,63
2016-10-02,219.0,109
2016-10-03,248.0,131
2016-10-04,193.0,97
2016-10-05,208.0,107
2016-10-06,312.0,173
2016-10-07,237.0,113
2016-10-08,140.0,68
2016-10-09,264.0,140
2016-10-10,234.0,145
2016-10-11,186.0,130
2016-10-12,251.0,147
2016-10-13,210.0,144
2016-10-14,251.0,145
2016-10-15,121.0,56
2016-10-16,278.0,147
2016-10-17,206.0,107
2016-10-18,175.0,95
2016-10-19,156.0,87
2016-10-20,300.0,152
2016-10-21,229.0,104
2016-10-22,156.0,73
2016-10-23,312.0,167
2016-10-24,202.0,100
2016-10-25,240.0,127
2016-10-26,185.0,106
2016-10-27,179.0,95
2016-10-28,309.0,149
2016-10-29,321.0,158
2016-10-30,251.0,130
2016-10-31,247.0,117
2016-11-01,165.0,82
2016-11-02,202.0,114
2016-11-03,172.0,91
2016-11-04,211.0,108
2016-11-05,202.0,104
2016-11-06,140.0,92
2016-11-07,193.0,130
2016-11-08,117.0,74
2016-11-09,107.0,62
2016-11-10,196.0,102
2016-11-11,281.0,142
2016-11-12,186.0,94
2016-11-13,179.0,99
2016-11-14,202.0,117
2016-11-15,122.0,81
2016-11-16,159.0,94
2016-11-17,190.0,100
2016-11-18,263.0,132
2016-11-19,200.0,100
2016-11-20,102.0,58
2016-11-21,206.0,149
2016-11-22,98.0,55
2016-11-23,124.0,81
2016-11-24,142.0,79
2016-11-25,254.0,125
2016-11-26,169.0,81
2016-11-27,85.0,48
2016-11-28,122.0,86
2016-11-29,118.0,72
2016-11-30,85.0,48
2016-12-01,153.0,76
2016-12-02,243.0,119
2016-12-03,242.0,118
2016-12-04,110.0,56
2016-12-05,193.0,110
2016-12-06,104.0,54
2016-12-07,139.0,71
2016-12-08,318.0,154
2016-12-09,130.0,69
2016-12-10,154.0,71
2016-12-11,60.0,31
2016-12-12,83.0,55
2016-12-13,101.0,65
2016-12-14,88.0,66
2016-12-15,79.0,50
2016-12-16,144.0,81
2016-12-17,157.0,82
2016-12-18,105.0,51
2016-12-19,118.0,72
2016-12-20,97.0,52
2016-12-21,122.0,61
2016-12-22,136.0,69
2016-12-23,170.0,78
2016-12-24,173.0,86
2016-12-25,127.0,54
2016-12-26,159.0,71
2016-12-27,320.0,152
2016-12-28,178.0,85
2016-12-29,181.0,95
2016-12-30,313.0,148
2016-12-31,109.0,49
2017-01-01,171.0,78
2017-01-02,248.0,118
2017-01-03,157.0,80
2017-01-04,121.0,64
2017-01-05,122.0,60
2017-01-06,160.0,73
2017-01-07,136.0,67
2017-01-08,106.0,60
2017-01-09,104.0,61
2017-01-10,132.0,84
2017-01-11,78.0,46
2017-01-12,148.0,91
2017-01-13,126.0,59
2017-01-14,182.0,98
2017-01-15,84.0,47
2017-01-16,196.0,154
2017-01-17,86.0,59
2017-01-18,169.0,134
2017-01-19,168.0,88
2017-01-20,108.0,53
2017-01-21,154.0,78
2017-01-22,118.0,69
2017-01-23,111.0,68
2017-01-24,97.0,66
2017-01-25,134.0,91
2017-01-26,149.0,82
2017-01-27,218.0,117
2017-01-28,165.0,76
2017-01-29,106.0,56
2017-01-30,140.0,84
2017-01-31,90.0,63
2017-02-01,81.0,57
2017-02-02,159.0,90
2017-02-03,164.0,85
2017-02-04,235.0,119
2017-02-05,122.0,72
2017-02-06,155.0,83
2017-02-07,101.0,60
2017-02-08,108.0,64
2017-02-09,189.0,100
2017-02-10,218.0,106
2017-02-11,188.0,88
2017-02-12,217.0,102
2017-02-13,272.0,146
2017-02-14,192.0,99
2017-02-15,220.0,120
2017-02-16,160.0,81
2017-02-17,257.0,127
2017-02-18,203.0,90
2017-02-19,209.0,101
2017-02-20,204.0,112
2017-02-21,140.0,83
2017-02-22,206.0,134
2017-02-23,182.0,100
2017-02-24,194.0,98
2017-02-25,339.0,189
2017-02-26,280.0,138
2017-02-27,210.0,100
2017-02-28,130.0,66
2017-03-01,186.0,101
2017-03-02,316.0,179
2017-03-03,180.0,95
2017-03-04,121.0,57
2017-03-05,231.0,128
2017-03-06,214.0,124
2017-03-07,162.0,95
2017-03-08,111.0,69
2017-03-09,198.0,110
2017-03-10,261.0,131
2017-03-11,195.0,103
2017-03-12,141.0,80
2017-03-13,218.0,132
2017-03-14,171.0,109
2017-03-15,157.0,108
2017-03-16,216.0,120
2017-03-17,200.0,95
2017-03-18,184.0,89
2017-03-19,218.0,119
2017-03-20,223.0,135
2017-03-21,117.0,71
2017-03-22,105.0,62
2017-03-23,155.0,90
2017-03-24,216.0,128
2017-03-25,192.0,92
2017-03-26,178.0,93
2017-03-27,210.0,114
2017-03-28,124.0,67
2017-03-29,224.0,130
2017-03-30,222.0,122
2017-03-31,249.0,130
2017-04-01,189.0,86
2017-04-02,153.0,75
2017-04-03,264.0,140
2017-04-04,114.0,61
2017-04-05,267.0,159
2017-04-06,196.0,93
2017-04-07,187.0,81
2017-04-08,230.0,111
2017-04-09,306.0,139
2017-04-10,252.0,117
2017-04-11,216.0,102
2017-04-12,193.0,86
2017-04-13,281.0,128
2017-04-14,256.0,120
2017-04-15,215.0,100
2017-04-16,183.0,85
2017-04-17,240.0,117
2017-04-18,150.0,89
2017-04-19,214.0,114
2017-04-20,180.0,98
2017-04-21,201.0,99
2017-04-22,202.0,105
2017-04-23,207.0,109
2017-04-24,177.0,96
2017-04-25,139.0,76
2017-04-26,124.0,75
2017-04-27,189.0,105
2017-04-28,320.0,161
2017-04-29,351.0,169
2017-04-30,192.0,99
2017-05-01,228.0,117
2017-05-02,239.0,132
2017-05-03,162.0,92
2017-05-04,212.0,108
2017-05-05,274.0,134
2017-05-06,223.0,107
2017-05-07,161.0,88
2017-05-08,237.0,137
2017-05-09,236.0,142
2017-05-10,144.0,84
2017-05-11,250.0,127
2017-05-12,193.0,96
2017-05-13,213.0,106
2017-05-14,212.0,128
2017-05-15,209.0,122
2017-05-16,169.0,92
2017-05-17,193.0,110
2017-05-18,225.0,118
2017-05-19,174.0,91
2017-05-20,222.0,112
2017-05-21,197.0,103
2017-05-22,229.0,127
2017-05-23,198.0,115
2017-05-24,287.0,156
2017-05-25,400.0,190
2017-05-26,210.0,99
2017-05-27,150.0,74
2017-05-28,276.0,137
2017-05-29,221.0,115
2017-05-30,165.0,90
2017-05-31,170.0,94
2017-06-01,252.0,127
2017-06-02,292.0,137
2017-06-03,253.0,121
2017-06-04,190.0,95
2017-06-05,220.0,115
2017-06-06,163.0,93
2017-06-07,150.0,85
2017-06-08,241.0,120
2017-06-09,258.0,126
2017-06-10,195.0,96
2017-06-11,260.0,131
2017-06-12,208.0,107
2017-06-13,168.0,84
2017-06-14,184.0,93
2017-06-15,255.0,120
2017-06-16,179.0,93
2017-06-17,229.0,108
2017-06-18,182.0,89
2017-06-19,210.0,110
2017-06-20,192.0,105
2017-06-21,162.0,81
2017-06-22,216.0,108
2017-06-23,204.0,103
2017-06-24,215.0,92
2017-06-25,251.0,131
2017-06-26,203.0,101
2017-06-27,196.0,109
2017-06-28,213.0,113
2017-06-29,200.0,92
2017-06-30,253.0,116
2017-07-01,241.0,114
2017-07-02,214.0,92
2017-07-03,241.0,110
2017-07-04,286.0,145
2017-07-05,133.0,70
2017-07-06,278.0,136
2017-07-07,227.0,102
2017-07-08,219.0,95
2017-07-09,283.0,130
2017-07-10,272.0,119
2017-07-11,236.0,112
2017-07-12,243.0,113
2017-07-13,296.0,147
2017-07-14,179.0,81
2017-07-15,351.0,160
2017-07-16,236.0,103
2017-07-17,263.0,114
2017-07-18,218.0,100
2017-07-19,164.0,73
2017-07-20,205.0,88
2017-07-21,227.0,95
2017-07-22,242.0,124
2017-07-23,216.0,94
2017-07-24,313.0,141
2017-07-25,205.0,92
2017-07-26,184.0,81
2017-07-27,210.0,99
2017-07-28,188.0,85
2017-07-29,261.0,110
2017-07-30,199.0,90
2017-07-31,260.0,111
2017-08-01,228.0,101
2017-08-02,234.0,102
2017-08-03,236.0,107
2017-08-04,252.0,106
2017-08-05,215.0,89
2017-08-06,209.0,91
2017-08-07,295.0,129
2017-08-08,197.0,85
2017-08-09,220.0,95
2017-08-10,199.0,89
2017-08-11,172.0,74
2017-08-12,287.0,122
2017-08-13,217.0,92
2017-08-14,233.0,101
2017-08-15,227.0,98
2017-08-16,234.0,100
2017-08-17,261.0,108
2017-08-18,239.0,100
2017-08-19,251.0,105
2017-08-20,229.0,114
2017-08-21,230.0,102
2017-08-22,161.0,72
2017-08-23,192.0,88
2017-08-24,218.0,98
2017-08-25,297.0,140
2017-08-26,221.0,97
2017-08-27,265.0,125
2017-08-28,248.0,147
2017-08-29,150.0,81
2017-08-30,128.0,62
2017-08-31,189.0,89
